Issue ID,Rule ID,Screen,URL,Issue Frequency,Assistive Technology Combination,Summary,Steps to Reproduce,Actual Result,Expected Result,Screenshot,WCAG Success Criteria,WCAG Conformance Level,Functional Impact,Accessibility Impact / Severity,Instances,Disability Affected,Recommendation,QA Status,QA Comment,QA Screencast,QA Recommendation,,,,
11,custom,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,"Windows/ Chrome
macOS/ Safari",Visual label not provided,"1. Go to the URL.
2. Notice that a visual label is not provided for ""Search..."" field in search landmark.","Visual label is not provided.

Relaying on placeholder only may result in a challenge for people with color blindness or cognitive disabilities. People should never lose context with what they're writing.",Visual label is available for every input.,"https://www.screencast.com/t/bNa4pUKMez0

https://www.screencast.com/t/hYwSmjMoL4

https://www.screencast.com/t/YxuZfi29MW7E",3.3.2,A,Low,Low,"1. PGA Tour – Statistics : Similar Issue is found.
2. PGA Tour Scheduling – Tournaments – Hole location

","Visual, Cognitive","Add a visual label to the input using the <label> tag and properly it link to the input using the attribute ""for"".

Refer to:
https://www.w3schools.com/tags/tag_label.asp",Open,,,,,,,
12,man-key-12,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,"Windows/ Chrome/ NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Incorrect focus order,"1. Go to the URL.
2. Navigate to hamburger menu and select it.
3. Navigate using tab key until reaching out.
4. Notice that focus order is incorrect.","The hamburger menu don't have a logical navigation sequence using only the keyboard.

It is important to provide a logical navigation sequence for keyboard-only user with motor disabilities or non-visual users that can't use the mouse to navigate the page in order for them to fully understand the content.",The focus order should be trapped inside the expanded  section of the hamburger menu.,https://www.screencast.com/t/a8mBXt22,2.4.3,A,High,High,,"Visual, Cognitive, Physical","Place the HTML elements within the code in a logical order, so that the default tab order follows that sequence.

Refer to:
https://www.w3.org/WAI/WCAG21/Techniques/general/G59.html",Open,,,,,,,
13,man-cc-1,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Insufficient non-text contrast,"1. Go to the URL.
2. Browse through the page until reaching dropdown icon of ""TOURS"".
3. Open Colour Contrast Analyzer, select the dropper tool, click on the foreground section and select any pixel from the dropdown icon.
4. Measure the contrast ratio between the dropdown icon and the background color.","The color contrast ratio between the dropdown icon of ""TOURS"" and its background is less than 3.0:1.","The color contrast ratio between the dropdown sign of ""TOURS"" and its background is of at least of 3.0:1.",https://www.screencast.com/t/H14Qt3RVn,1.4.11,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 3.0:1.

Good color option:
Foreground: #6A8AA9
Background: #073B71

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)",Open,,,,,,,
14,man-cc-1,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Insufficient non-text contrast,"1. Go to the URL.
2. Browse through the page until reaching edit icon in table header.
3. Open Colour Contrast Analyzer, select the dropper tool, click on the foreground section and select any pixel from the edit icon.
4. Measure the contrast ratio between the edit icon  and the background color.",The color contrast ratio between the edit icon and its background is less than 3.0:1.,The color contrast ratio between the edit icon and its background is of at least of 3.0:1.,https://www.screencast.com/t/gFZPRrw7r,1.4.11,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 3.0:1.

Good color option:
Foreground: #BDCCD6
Background: #00284B

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)",Open,,,,,,,
15,man-cc-1,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Insufficient non-text contrast,"1. Go to the URL.
2. Browse through the page until reaching dropdown icon in table column.
3. Open Colour Contrast Analyzer, select the dropper tool, click on the foreground section and select any pixel from the dropdown icon.
4. Measure the contrast ratio between the dropdown icon and the background color.","The color contrast ratio between the dropdown icon ""color picker-popup"" and its background is less than 3.0:1.","The color contrast ratio between the dropdown box ""color picker-popup"" and its background is of at least of 3.0:1.",https://www.screencast.com/t/4J1hhxW9Zg,1.4.11,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 3.0:1.

Good color option:
Foreground: #949494
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)",Open,,,,,,,
16,man-cc-3,Leaderboards,https://www.pgatour.com/leaderboard.html,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching the tab ""leaderboard"" and search for the text ""Last updated 50 sec ago."".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the text ""Last updated 50 sec ago."" and its background is less than 4.5:1.","The color contrast ratio text ""Last updated 50 sec ago."" and its background is of at least 4.5:1.",https://www.screencast.com/t/zRPQWktc,1.4.3,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #525252
Background: #F3F3F3

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
17,man-cc-3,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching to the text ""3d"" in the table column.
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the text ""3d"" and its background is less than 4.5:1.","The color contrast ratio of text ""3d"" and its background is of at least 4.5:1.","https://www.screencast.com/t/PPHqwpLb4
",1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #FFFFFF
Background: #B30F11

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
18,man-cc-3,Leaderboards,https://www.pgatour.com/leaderboard.html,Individual ,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching graphic ""file of growing by CDW"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the graphic ""file of growing by CDW"" and its background is less than 4.5:1.","The color contrast ratio of graphic ""file of growing by CDW"" and its background is of at least 4.5:1.",https://www.screencast.com/t/ILanTTNzbMZ ,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #FEF6F7
Background: #9C1126

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
#FEF6F7",Open,,,,,,,
19,man-sr-33,PGA Tour Schedule,https://www.pgatour.com/tournaments/schedule.html,Individual ,Windows/ Chrome/ NVDA,Incorrect heading structure,"1. Go to the URL.
2. Press the (insert + f7) .
3. Notice that there are some level of heading missing.",The screen reader jumps to heading level <h3>.,Heading increase one level at the time.,https://www.screencast.com/t/VZxx4uv9,1.3.1,A,Low,Low,,"Visual, Cognitive","Make sure heading level should be structured in a hierarchical manner and to increase one level at the time.
E.g. <h1>, <h2> ... <h6>.

Refer to:
https://www.w3.org/WAI/tutorials/page-structure/headings/",Open,,,,,,,
20,man-cc-1,PGA Tour Schedule,https://www.pgatour.com/tournaments/schedule.html,Global,Windows/ Chrome,Insufficient non-text contrast,"1. Go to the URL.
2. Browse through the page until reaching combobox ""2020-2021"".
3. Open Colour Contrast Analyzer, select the dropper tool, click on the foreground section and select any pixel from the combobox icon.
4. Measure the contrast ratio between the combobox icon and the background color.",The color contrast ratio between the combobox icon and its background is less than 3.0:1.,The color contrast ratio between the combobox icon  and its background is of at least of 3.0:1.,https://www.screencast.com/t/8QFSuc7dQD,1.4.11,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 3.0:1.

Good color option:
Foreground: #EFF0F0
Background: #8A8A8A

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/non-text-contrast.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)",Open,,,,,,,
21,man-cc-3,PGA Tour Schedule,https://www.pgatour.com/tournaments/schedule.html,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching  dates ""JUL 22 - 25, JUL 29 - AUG 1, AUG 5 - 8"" under heading ""UPCOMING TOURNAMENTS""
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the text ""JUL 22 - 25, JUL 29 - AUG 1, AUG 5 - 8"" and its background is less than 4.5:1.","The color contrast ratio of text ""JUL 22 - 25, JUL 29 - AUG 1, AUG 5 - 8"" and its background is of at least 4.5:1.",https://www.screencast.com/t/vMf4NHEf4,1.4.3,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #595959
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
22,man-cc-4,PGA Tour Schedule – Tournaments (Templated),https://www.pgatour.com/tournaments/wyndham-championship.html,Individual ,Windows/ Chrome,Content present over irregular background,"1. Go to the URL
2. Browse through the page until you find the text on graphics ""SPONSORS, LOCAL INFO, VOLUNTEER"".
3. Open Colour Contrast Analyser and click on any pixel from the text in the foreground section using the eyedropper tool.
4. Click on any pixel in the background section using the eyedropper tool.
5. Measure the contrast ratio between the text and its irregular background color.","The color contrast ratio of the text on graphics ""SPONSORS, LOCAL INFO, VOLUNTEER"" are insufficient due to its irregular background.","The color contrast ratio of the text on graphics ""SPONSORS, LOCAL INFO, VOLUNTEER"" and its background should be of at least 4.5:1.","https://www.screencast.com/t/0DWAz9Bh

https://www.screencast.com/t/onofxbKQto7s

https://www.screencast.com/t/uK88XhCf0LV",1.4.3,AA,Low,High,"1. PGA Tour Schedule – Tournaments (Templated): A similar issue is observed with text on graphics ""Essential Guide: Wyndham Championship, Champion's Wall: Brandt Snedeker, Wyndham Championship etc."".
2. PGA Tour Scheduling – Tournaments – Plan on Visiting (Templated): A similar issue is observed with the text on graphic ""TICKETS""",Visual,"To achieve the minimum contrast ratio between text and an irregular background you can use one of the following techniques:
 
1. Use a background color for the text to pass the minimum contrast ratio, this is achieved by adding a span tag and a class with a background color attribute.
2. Add a <div> tag with a background-color property to pass the contrast ratio and give it a transparency.
3. Add a border to the text which passes the minimum contrast ratio.
4. Add a background gradient that has enough contrast with the text to the <div> container to pass the minimum ratio and place the text over the darkest part of the gradient.

Refer to:
https://www.essentialaccessibility.com/blog/content-over-images-how-does-this-uxui-trend-impact-accessibility/",Open,,,,,,,
23,man-cc-3,PGA Tour Schedule – Tournaments (Templated),https://www.pgatour.com/tournaments/wyndham-championship.html,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching table content ""1, 4, -21, F, etc."".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the table content ""1, 4, -21, F, etc."" and its background is less than 4.5:1.","The color contrast ratio of table content ""1, 4, -21, F, etc."" and its background is of at least 4.5:1.",https://www.screencast.com/t/EBw8QWg4v,1.4.3,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #595959
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
24,man-cc-3,PGA Tour Schedule – Tournaments (Templated),https://www.pgatour.com/tournaments/wyndham-championship.html,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching user profile content's "" -21 and F "".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the profile content's ""-21 and F"" and its background is less than 4.5:1.","The color contrast ratio of profile content's ""-21 and F "" and its background is of at least 4.5:1.",https://www.screencast.com/t/EBw8QWg4v,1.4.3,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #4F4F4F
Background: #F2F2F2

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
25,man-cc-3,PGA Tour Schedule – Tournaments (Templated),https://www.pgatour.com/tournaments/wyndham-championship.html,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching table headers ""POS, COUNTRY, TOTAL, THRU, etc."".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the table headers ""POS, COUNTRY, TOTAL, THRU, etc."" and its background is less than 4.5:1.","The color contrast ratio of table headers ""POS, COUNTRY, TOTAL, THRU, etc."" and its background is of at least 4.5:1.",https://www.screencast.com/t/CFpVceEuPn,1.4.3,AA,Low,High,The color combination used for the element reported on the screenshot was found several times on other similar elements.,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #00538A
Background: #F2F2F2

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
