Issue ID,Rule ID,Screen,URL,Issue Frequency,Assistive Technology Combination,Summary,Steps to Reproduce,Actual Result,Expected Result,Screenshot,WCAG Success Criteria,WCAG Conformance Level,Functional Impact,Accessibility Impact / Severity,Instances,Disability Affected,Recommendation,QA Status,QA Comment,QA Screencast,QA Recommendation,,,,
12,man-sr-15,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Unnecessarily heading tag implemented,"1. Go to the URL.
2. Navigate through the website until reaching the paragraph present under form ""Are you ready to get started?"".
3. Notice that the element is announced as heading.","The screen reader announces a paragraph ""By clicking the ""Remodel My Home Today"" button, I consent to receive autodialed and/or prerecorded calls........ leads@westshorehome.com. "" as a heading.

This could potentially confuse the user since headings are designed to structure the information in the document and not to provide visual impact.","The screen reader reads the paragraph ""By clicking the ""Remodel My Home Today"" button, I consent to receive autodialed and/or prerecorded calls........ leads@westshorehome.com. "" as plain text.","https://www.screencast.com/t/Mm9DpTDULLea

https://www.screencast.com/t/pkahpEWE567

https://www.screencast.com/t/xHmNsFfnlJhb

https://www.screencast.com/t/TN5DeG27cZ

https://www.screencast.com/t/FLpjMpAv

https://www.screencast.com/t/otMTZ0yvP4",1.3.1,A,Low,High,"Current Promotion GNB: Copyright text, 

All Products GBA, 

Bath Shower Remodel Landing GNB: Text ""(866) 885-0316, www.westshorehome.com, and © 2021 West Shore Home "", 

Door Replacement GBA, 

Door Replacement GNB.",Visual,"Instead of using a <h1/h2> tag, use <span> or <div> tags and use CSS to maintain the visual effect.

Refer to:
https://www.w3.org/WAI/WCAG21/Techniques/general/G141",Open,,,,,,,
13,man-sr-9,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Hidden content read by the screen reader,"1. Go to the URL.
2. Navigate the page using the screen reader until reaching the text ""© 2021 West Shore Home "".
3. Listen to the screen reader announcing elements not present on the website.","The user reaches some hidden content when navigating with the screen reader.

This could potentially confuse the user due to the content's lack of relevance or it being repeated content.",The content that is not visually displayed on the page should not be reachable by the screen reader user.,"https://www.screencast.com/t/qQ9lpaw6q

https://www.screencast.com/t/LEa1kgW03wVU",1.3.1,A,Low,High,"Door Replacement GNB: After section ""LOCAL TO YOUR AREA"", the screen reader reads hidden links",Visual,"Ensure the content is hidden using the CSS display property set to ""none"".

Refer to:
https://css-tricks.com/inclusively-hidden/",Open,,,,,,,
14,man-sr-28,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Incorrect role for control defined,"1. Go to the URL.
2. Navigate through the website until reaching the element ""See offer details"".
3. Notice that an incorrect role is defined for the control.","The screen reader announces the current element ""See offer details"" as a link.","The screen reader announces the current element ""See offer details"" as a button.","https://www.screencast.com/t/8exJXSev

https://www.screencast.com/t/SeJPzfMy

https://www.screencast.com/t/1G1eROjr

https://www.screencast.com/t/3YFAXu42D

https://www.screencast.com/t/gYSBy2jWxA

https://www.screencast.com/t/EtoSG0w6",4.1.2,A,Low,High,"All Products GBA: No role is defined for the buttons under heading ""SOME OF OUR FAVORITES"", 

All Products GBA, 

Bath Shower Remodel Landing GNB, 

Door Replacement GBA, 

Door Replacement GNB","Visual, Cognitive","Use the proper <button> tag.

OR

Add a role=""button"". 

Refer to: https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Roles/button_role
",Open,,,,,,,
15,custom,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Time countdown frame content is not accessible,"1. Go to the URL.
2. Navigate through the website until reaching the countdown frame.
3. Notice that the screen reader does not read anything when focus reaches the frame.",Time countdown frame content is not accessible to the screen reader user.,Time countdown frame content is accessible to the screen reader user.,"https://www.screencast.com/t/sH9UgeoyQpyF

https://www.screencast.com/t/PXajIspWu",1.3.1,A,Low,High,Bath Shower Remodel Landing GNB,Visual,"The screen reader announce changes each minute with aria live regions.

Use role=""alert"" and aria-live=""assertive"". 

Refer to: https://pauljadam.com/demos/ariacountdown.html",Open,,,,,,,
16,man-key-7,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,Windows/ Chrome,Focus is not visible on elements,"1. Go to the URL.
2. Navigate the page using the keyboard.
3. Notice that focus indicator is not visible on all interactive elements.","Focus is not visible on all interactive elements like ""Remodel My Bathroom, See offer details, leads@westshorehome.com, etc"" while the user is navigating through focusable elements with the keyboard.

Having a visual reference as to where the user is positioned on the page is important to make navigation easier for keyboard-only users and people with cognitive disabilities or attention disorders.","Focus border is visible around all the focusable elements.
","https://www.screencast.com/t/xmcgizGDvEP

https://www.screencast.com/t/M1t6vEOwLR

https://www.screencast.com/t/KQgxxphA

https://www.screencast.com/t/VvwNVuYI8

https://www.screencast.com/t/jT1cAmJtijFF",2.4.7,AA,Low,High,"All Products GBA: Focus is not visible on all interactive elements, 

Bath Shower Remodel Landing GNB: Focus is not visible on all interactive elements, 

Door Replacement GBA: Focus is not visible on all interactive elements, 

Door Replacement GNB: Focus is not visible on all interactive elements.","Cognitive, Visual, Physical","Provide a visible border/outline on each interactive element using CSS.

Refer to:
https://www.w3.org/TR/UNDERSTANDING-WCAG20/navigation-mechanisms-focus-visible.html
https://www.w3.org/TR/2016/NOTE-WCAG20-TECHS-20161007/C15",Open,,,,,,,
17,man-zoom-14,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,Windows/ Chrome,Content misaligned when zooming browser to 200% ,"1. Open the Display Settings.
2. Set the Scale to 100% and Display Resolution to 1920x1080.
3. Open the URL in Chrome.
4. Press the CTRL and + keys at the same time.
5. Increase the browser zoom to 200%.
6. Notice how all elements present in the right side becomes misaligned.",All elements present in the right side of the viewport are misaligned to an extent it is missing and cannot be interpreted by the user.,The content adapts itself to the current viewport and has a logic sequence with the context around it without losing coherence.,"https://www.screencast.com/t/rBCMuONv

https://www.screencast.com/t/UeuFgs1Re3e

https://www.screencast.com/t/aJjwNaRUbkF

https://www.screencast.com/t/sGBQHLWD

https://www.screencast.com/t/ZLahYBA1",1.4.4,AA,High,High,"Tab Shower Replacement, 

All Products GBA, 

Door Replacement GBA, 

Door Replacement GNB","Cognitive, Visual","1. Check the display properties and the DOM structure.
2. Use the CSS media query to adjust the properties when zooming the browser to 200%. 

Also ensure that the height and width of content containers are specified using dynamic units like '%', 'em', 'vh' and 'vw'.

Refer to:
https://developer.mozilla.org/en-US/docs/Web/CSS/@media
https://www.w3.org/Style/Examples/007/units.en.html",Open,,,,,,,
18,man-cc-3,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching the header section and search for link ""Call Us Today: (866) 885-0316"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the link ""Call Us Today: (866) 885-0316"" and its background is less than 4.5:1.","The color contrast ratio of link ""Call Us Today: (866) 885-0316"" and its background is of at least 4.5:1.",https://www.screencast.com/t/de9d4J04gs,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #1B5993
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
19,man-cc-4,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,Windows/ Chrome,Content present over irregular background,"1. Go to the URL
2. Browse through the page until you find the text ""Whether you're upgrading your bath,..."".
3. Open Colour Contrast Analyser and click on any pixel from the text in the foreground section using the eyedropper tool.
4. Click on any pixel in the background section using the eyedropper tool.
5. Measure the contrast ratio between the text and its irregular background color.","The color contrast ratio of the  text ""Whether you're upgrading your bath,..."" is insufficient due to its irregular background.",The color contrast ratio of the text should be of at least 4.5:1.,https://www.screencast.com/t/f0ej9SXj,1.4.3,AA,Low,High,,Visual,"To achieve the minimum contrast ratio between text and an irregular background you can use one of the following techniques:
 
1. Use a background color for the text to pass the minimum contrast ratio, this is achieved by adding a span tag and a class with a background color attribute.
2. Add a <div> tag with a background-color property to pass the contrast ratio and give it a transparency.
3. Add a border to the text which passes the minimum contrast ratio.
4. Add a background gradient that has enough contrast with the text to the <div> container to pass the minimum ratio and place the text over the darkest part of the gradient.

Refer to:
https://www.essentialaccessibility.com/blog/content-over-images-how-does-this-uxui-trend-impact-accessibility/",Open,,,,,,,
20,man-cc-3,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching the offer countdown section and search for text ""soon"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the text ""soon"" and its background is less than 4.5:1.","The color contrast ratio of text ""soon"" and its background is of at least 4.5:1.","https://www.screencast.com/t/73QOurOD

https://www.screencast.com/t/8GSxP9NV5

https://www.screencast.com/t/JvOivMeeD1

https://www.screencast.com/t/19uOKNjhDkNg",1.4.3,AA,Low,High,"All Products GBA, 

Door Replacement GBA, 

Door Replacement GNB",Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #FFFFFF
Background: #DF1111

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
21,man-cc-3,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Individual,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching the time countdown section and search for countdown timing.
3. Use Colour Contrast Analyzer to measure the contrast ratio.",The color contrast ratio between the countdown timing and its background is less than 4.5:1.,The color contrast ratio of countdown timing and its background is of at least 4.5:1.,https://www.screencast.com/t/YjPKUh0LO,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #FFFFFF
Background: #683808

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
22,man-cc-3,Current Promotion GNB,https://westshorehome.com/current-promotion-gnb/,Global,Windows/ Chrome,Insufficient color contrast,"1. Go to the URL.
2. Browse through the page until reaching the form ""Are you ready to get started?
"" and search for placeholder text ""Email, First Name, Last Name, etc"".
3. Use Colour Contrast Analyzer to measure the contrast ratio.","The color contrast ratio between the placeholder text ""Email, First Name, Last Name, etc"" and its background is less than 4.5:1.","The color contrast ratio of placeholder text ""Email, First Name, Last Name, etc"" and its background is of at least 4.5:1.",https://www.screencast.com/t/pYkED7omrm,1.4.3,AA,Low,High,,Visual,"Make sure that the element has a contrast ratio of at least 4.5:1.

Good color option:
Foreground: #4A4A4A
Background: #FFFFFF

For more color options:
https://contrast-finder.tanaguru.com/
http://colorsafe.co/

Refer to:
https://www.w3.org/WAI/WCAG21/Understanding/contrast-minimum.html
https://www.w3.org/TR/WCAG20-TECHS/G18.html
https://www.w3.org/WAI/GL/low-vision-a11y-tf/wiki/Contrast_(Minimum)
",Open,,,,,,,
24,man-auto-10,Tab Shower Replacement,https://westshorehome.com/tab-shower-replacement/,Individual,Windows/ Chrome,ID attribute value must be unique,"1. Go to the URL.
2. Open the Browser Console.
3. Run aXe scan.
4. Look for issue ""ID attribute value must be unique"" as it's displayed on aXe results section and select ""Inspect"" button to be taken to the block of code where the issue is located.","More than one instance of an active ID is found.

Duplicate IDs found: lp-pom-button-45

The value assigned to active ID attributes on focusable elements must be unique to prevent the second instance from being overlooked by assistive technology.",No repeated IDs are found.,https://www.screencast.com/t/L8FtIU0Z ,4.1.1,A,High,High,,Visual,"Avoid having two active IDs of a different version (web mobile or desktop version) for the same element at the same time. 
In case the mobile responsive view is displaying, then the only ID that should be active is the ID of the corresponding mobile version. 
Make sure that each focusable element on the page with an active ID has a unique value. ",Open,,,,,,,
25,man-sr-2,Tab Shower Replacement,https://westshorehome.com/tab-shower-replacement/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Missing information for the image,"1. Go to the URL.
2. Navigate the page using the screen reader until reaching the logo image.
3. Alternative text is not provided for the logo image.","The content displayed in the image is not being read by the screen reader.

Important and relevant content is unavailable for screen reader users.",The screen reader reads the content provided on the image when it is reached.,"https://www.screencast.com/t/pNgOIcn0k

https://www.screencast.com/t/pXzMtjZ54CeR",1.1.1,A,Low,High,"Shower Replacement: Alternative text is not defined for the informative images under heading ""Tile Patterns, Shower Wall Colors, and Star rating"".","Visual, Auditory","Ensure the <img> has an ""alt"" attribute with enough and relevant information.

Best practices for alternative text:
- Less than 125 characters long.
- Don't start the alt text with expressions such as ""picture of..."" or ""image of..."" 
- Describe the image with as much detail as possible.

Refer to:
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img
https://www.w3schools.com/TagS/att_img_longdesc.asp
https://moz.com/learn/seo/alt-text",Open,,,,,,,
26,man-sr-31,Tab Shower Replacement,https://westshorehome.com/tab-shower-replacement/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Missing heading level 1,"1. Go to the URL.
2. Use the Heading Map Chrome extension.
3. Notice there is no level 1 heading.","There's no heading level 1 that allows screen reader users to skim through the website.

If there is no heading defined on the page, users waste valuable time getting announced the page as a whole to understand its structure.",There is a heading level 1 present on the website.,"https://www.screencast.com/t/7dyvNfRzvj

https://www.screencast.com/t/iLMAqrQbnACX",1.3.1,A,Low,High,Bath Shower Remodel Landing GNB,Visual,"Add an <h1> tag or use a role=""heading"" with an aria-level=""1"" attribute to identify the main title of the page.

Download the extension on the link below:
https://chrome.google.com/webstore/detail/headingsmap/flbjommegcjonpdmenkdiocclhjacmbi/related

Refer to:
https://www.w3.org/WAI/tutorials/page-structure/headings/
",Open,,,,,,,
27,man-sr-16,Tab Shower Replacement,https://westshorehome.com/tab-shower-replacement/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",Visually appearing heading not tagged as heading,"1. Go to the URL.
2. Navigate through the website until reaching the text ""An Affordable Way To Upgrade Your Bathroom, Increase Home Value, What We Do, etc"".
3. Notice that the screen reader announces it as plain text.","The screen reader announces the text ""An Affordable Way To Upgrade Your Bathroom, Increase Home Value, What We Do, etc"" as plain text.

This could potentially confuse the user since headings are designed to structure the information in the document.","The screen reader reads the text ""An Affordable Way To Upgrade Your Bathroom, Increase Home Value, What We Do, etc"" according to the heading structure.

First heading should be tagged as h1 and other heading should be provided according to the heading structure.","https://www.screencast.com/t/jqsJGB5wlA

https://www.screencast.com/t/7PgMUfjB

https://www.screencast.com/t/FUHpaTXE

https://www.screencast.com/t/h2wes9WPAx",1.3.1,A,Low,High,"All the visual appearing headings are not tagged as heading for the screen reader users, 

Bath Shower Remodel Landing GNB, 

Door Replacement GBA: Heading ""Local to your area"", 

Door Replacement GNB: Heading ""Local to your area"".",Visual,"Make sure heading level should be structured in a hierarchical manner and to increase one level at the time.
E.g. <h1>, <h2> ... <h6>.

Refer to:
https://www.w3.org/WAI/tutorials/page-structure/headings/",Open,,,,,,,
28,man-sr-39,Tab Shower Replacement,https://westshorehome.com/tab-shower-replacement/,Individual,"Windows/ Chrome / NVDA
macOS/ Safari/ VoiceOver
iPhone/ Safari/ VoiceOver",List not implemented,"1. Go to the URL.
2. Navigate through the website until reaching the links ""Privacy Policy, Licenses""
3. Notice that the screen reader is announcing the  links ""Privacy Policy, Licenses"" just as link without list.","The links ""Privacy Policy, and Licenses"" are announced just as link without list by the screen reader.

This might confuse the user and it implies an extra effort for them to understand when they enter/leave the list and how many items it contains.","The screen reader announces the  links ""Privacy Policy, Licenses"" as a list of 02 items.","https://www.screencast.com/t/RdkjALx51dFI

https://www.screencast.com/t/LNcZWwvT55",1.3.1,A,High,High,"Bath Shower Remodel Landing GNB: Under heading ""Payments As Low As $99 A Month*"", elements are not tagged in a unordered list.","Visual, Cognitive","1. Wrap each link inside a <li> tag and then wrap the group inside a <ul> tag.
2. Provide the desire visual style using CSS.

Refer to:
https://www.w3.org/WAI/tutorials/page-structure/content/#lists",Open,,,,,,,
